Bill Date	Ship Date	Delivery_Confirm	Material_or_VAS_Num	Overlabeled Value	Invoice
09/29/2019	09/16/2019	9374869903504093397079	82		21373553
09/29/2019	09/16/2019	9374869903504093410846	82		21373553
09/29/2019	09/16/2019	9374869903504093151763	82		21373553
09/29/2019	09/16/2019	9374869903504093383836	82		21373553
09/29/2019	09/16/2019	9374869903504093278224	82		21373553
09/29/2019	09/16/2019	9374869903504093303674	82		21373553
09/29/2019	09/16/2019	9374869903504093418798	82		21373553
09/29/2019	09/17/2019	9374869903504096673064	82		21373553
09/29/2019	09/19/2019	9305589936900254167584	36	9361269903504102579698	21373553
09/29/2019	09/19/2019	9374869903504102582175	82		21373553
09/29/2019	09/19/2019	9374869903504102582861	82		21373553
09/29/2019	09/19/2019	9374869903504102581345	82		21373553
09/29/2019	09/19/2019	9374869903504102581826	82		21373553
09/29/2019	09/19/2019	9374869903504102591931	82		21373553
09/29/2019	09/19/2019	9374869903504102580843	82		21373553
09/29/2019	09/19/2019	9374869903504102583561	82		21373553
09/29/2019	09/23/2019	9374869903504110903894	82		21373553
09/29/2019	09/23/2019	9374869903504110496334	82		21373553
09/29/2019	09/23/2019	9374869903504110176052	82		21373553
09/29/2019	09/23/2019	9374869903504110700981	82		21373553
09/29/2019	09/23/2019	9374869903504110469123	82		21373553
09/29/2019	09/23/2019	9374869903504110606214	82		21373553
09/29/2019	09/23/2019	9374869903504110292967	82		21373553
09/29/2019	09/23/2019	9374869903504110301683	82		21373553
09/29/2019	09/23/2019	9374869903504110550210	82		21373553
09/29/2019	09/24/2019	9374869903504112345487	82		21373553
09/29/2019	09/23/2019	9374869903504110940776	82		21373553
09/29/2019	09/23/2019	9374869903504110315666	82		21373553
09/29/2019	09/23/2019	9374869903504110707232	82		21373553
09/29/2019	09/23/2019	9374869903504110300181	82		21373553
09/29/2019	09/23/2019	9374869903504110481897	82		21373553
09/29/2019	09/23/2019	9374869903504110287789	82		21373553
09/29/2019	09/23/2019	9374869903504110357505	82		21373553
09/29/2019	09/23/2019	9374869903504110468164	82		21373553
09/29/2019	09/23/2019	9374869903504110177066	82		21373553
09/29/2019	09/23/2019	9374869903504110498932	82		21373553
09/29/2019	09/23/2019	9374869903504110698141	82		21373553
09/29/2019	09/23/2019	9374869903504110697076	82		21373553
09/29/2019	09/23/2019	9374869903504110481071	82		21373553
09/29/2019	09/23/2019	9374869903504110698776	82		21373553
09/29/2019	09/23/2019	9374869903504110470136	82		21373553
09/29/2019	09/23/2019	9374869903504110300730	82		21373553
09/29/2019	09/23/2019	9374869903504110692927	82		21373553
09/29/2019	09/23/2019	9374869903504110309825	82		21373553
09/29/2019	09/23/2019	9374869903504110607518	82		21373553
