tracking number,rate__shipment__address_to__zip,Account
9374869903505633765365,35173-2010,5358164
9374869903505633782591,85323-7706,5358164
9374869903505633795409,63627-9145,5358164
9374869903505633860527,55432-1633,5358164
9374869903505633989051,20785-4603,5358164
92001901755477000378809835,29526-8217,5358164
9374869903505640190648,08724-4721,5358164
92001901755477000379947772,00913-4608,5358164
9374869903505640241029,93458-8207,5358164
9374869903505640249438,02155-2311,5358164
9374869903505640283760,35640-2135,5358164
9374869903505640291024,85140-5687,5358164
9374869903505640298719,30286-6413,5358164
9374869903505640307640,63141-7553,5358164
9374869903505640332710,92354-2021,5358164
9374869903505640344973,91423-4626,5358164
9374869903505640352367,75181-3519,5358164
9374869903505640364094,30058-5034,5358164
9374869903505640390420,96367-9998,5358164
9374869903505640403267,48850-9457,5358164
9374869903505640405070,34288-8809,5358164
9374869903505640410852,32533-4872,5358164
9374869903505640416922,75235-4216,5358164
9374869903505640421773,90601-3486,5358164
9374869903505640422374,94590-3018,5358164
9374869903505640425139,71638-2019,5358164
9374869903505640427973,29720-7341,5358164
9374869903505640432526,07712-4615,5358164
6237D797054B4845BDDEF0ED4,K9H 6X9,5358164
1B91D912835347E38B3EFE0BC,M1H3J7,5358164
8C1F5F95E9AC4502BACCA285B,IV31 6NP,5358164
9374869903505640480718,53186-1407,5358164
9374869903505640484143,33014-6349,5358164
F124EE380CE14DBE95EA03458,V9B6K7,5358164
9374869903505645765148,76020-1632,5358164
9374869903505645775048,28110-7818,5358164
9374869903505645813825,45419-3647,5358164
9374869903505645823169,75211-3927,5358164
9374869903505645870873,48341-1933,5358164
9374869903505645870330,43060-9609,5358164
9374869903505645872471,27822-8303,5358164
9374869903505645875472,93436-3546,5358164
9374869903505645879395,16749-1205,5358164
92001901755477000381017302,00736-9455,5358164
9374869903505645920097,96746-1574,5358164
9374869903505645929533,27610-1589,5358164
9374869903505645932052,59901-8378,5358164
9374869903505645938528,19702-4602,5358164
9374869903505645941962,38115-4240,5358164
9374869903505645946233,48312-6531,5358164
9374869903505645952623,08757-5532,5358164
9374869903505645957598,46307-8929,5358164
9374869903505645962134,60484-2753,5358164
9374869903505645964053,19114-1117,5358164
5EC103DBB1C049F48467AB28B,N5X0K3,5358164
B8F59D76257446828F230491D,J0a1k0,5358164
425C5AC9416F4CAB973085A77,h7x 4a9,5358164
F8F6E571C7AB476E862589330,E3B 0V4,5358164
DEEBD91E29964BBEBE9E4EDCC,L6Y 1A4,5358164
C406F6C0A16045C2AB88BE752,B4A3Y2,5358164
0FFFD999F3E942AA83D77930E,K2B 8E3,5358164
89E4FCF589CA401BB87177E92,8024,5358164
9374869903505646207357,34787-4611,5358164
9374869903505651568337,90022-2711,5358164
9374869903505651589097,28216-3199,5358164
9374869903505651609436,46112-5541,5358164
9374869903505651696375,98277-3404,5358164
92001901755477000382037453,983,5358164
9374869903505651723439,35127-1626,5358164
9374869903505651732400,91730-3646,5358164
9374869903505651740696,34787-5041,5358164
9374869903505651755829,78559-4384,5358164
9374869903505651766498,37716-5540,5358164
9374869903505651770860,42602-0570,5358164
9374869903505651777074,11423-1558,5358164
9374869903505651785864,29936-9401,5358164
9374869903505651791308,33486-1326,5358164
9374869903505651798673,98053-4001,5358164
9374869903505651859008,75146-1315,5358164
9374869903505651867584,88240-4460,5358164
9374869903505651869922,60517-4558,5358164
9591181338654461861452AAB,N1r 1z2,5358164
862E180ECCEE442ABB6CB1EC3,L4A3H5,5358164
274A2C78683041DB909B7DA12,8014,5358164
9374869903505656067811,92009-7502,5358164
9374869903505656083880,27966-9798,5358164
9374869903505656097450,32822-7225,5358164
9374869903505656110845,80018-6019,5358164
9374869903505656136739,61301-9726,5358164
9374869903505656148664,12206-5010,5358164
9374869903505656156102,20164-3142,5358164
9374869903505656195378,90028-5623,5358164
9374869903505656197471,36311-5051,5358164
9374869903505656212310,55303-4222,5358164
9374869903505656214345,72058-9062,5358164
9374869903505656222050,89141-6042,5358164
9374869903505656224726,30294-3100,5358164
9374869903505656224900,43560-1581,5358164
9374869903505656228922,90063-1909,5358164
9374869903505656230802,70601-6608,5358164
9374869903505656236422,33010-3348,5358164
9374869903505656240061,71638-2019,5358164
3A5D31ED754B4A508924A8D1E,J0E 1P0,5358164
DB0AFA966B5A4CA097EE0631F,j3r2g2,5358164
9374869903505656852493,28043-3143,5358164
9374869903505656887730,06335-1130,5358164
9374869903505656893069,76036-3558,5358164
A0F67AF5961144B6B456F7A18,T3C3X5,5358164
9374869903505665653012,79701-8859,5358164
9374869903505665672402,64054-1052,5358164
9374869903505665751916,33071-4902,5358164
9374869903505665774496,02188-3907,5358164
9374869903505665827604,40204-1586,5358164
9374869903505665852316,11421-1003,5358164
9374869903505665870525,35474-1837,5358164
9374869903505665908204,29710-6911,5358164
9374869903505665926215,33189-2655,5358164
9374869903505665935422,27609-6810,5358164
9374869903505665958551,60133-7277,5358164
9374869903505665983454,9354,5358164
9374869903505666040033,34229-9119,5358164
9374869903505666064480,08050-2271,5358164
9374869903505666078319,84129-2858,5358164
9374869903505666103516,90745-1406,5358164
9374869903505666115427,34689-2102,5358164
9374869903505666150862,08857-3211,5358164
9374869903505666209546,30571-2253,5358164
9374869903505666218197,28358-8205,5358164
9374869903505666227939,80020-2516,5358164
9374869903505666238720,85345-8966,5358164
9374869903505666257387,46390-9501,5358164
9374869903505666274438,75603-3836,5358164
9374869903505666289500,95610-5962,5358164
9374869903505666303671,38671-4787,5358164
9374869903505666313151,91710-3912,5358164
9374869903505666330707,85050,5358164
9374869903505666583875,44319-3610,5358164
9374869903505666591894,93702-4527,5358164
9374869903505666594185,72762-0580,5358164
9374869903505666604952,33071-4073,5358164
9374869903505666613138,78541-4557,5358164
9374869903505666618461,91405-2847,5358164
9374869903505666624110,33035-2511,5358164
9374869903505666629399,33010-3348,5358164
9374869903505666642510,19468-3227,5358164
9374869903505666645764,75149-3530,5358164
9374869903505666664994,80111-4215,5358164
9374869903505666671909,15090-7000,5358164
9374869903505666685647,76631-3049,5358164
9374869903505666693802,11105-1635,5358164
9374869903505666705468,46151-1656,5358164
9374869903505666715481,32724-0901,5358164
9374869903505666728672,77478-5357,5358164
9374869903505666734925,54843-4031,5358164
9374869903505666747499,32347-9053,5358164
9374869903505666771166,94565-4643,5358164
9374869903505666778875,11416-2017,5358164
9374869903505666794974,76226-0416,5358164
9374869903505666810735,28327-7360,5358164
9374869903505666818762,57104-5180,5358164
9374869903505666824886,80104-8776,5358164
9374869903505666829263,02360-4030,5358164
9374869903505666836599,36251-7513,5358164
9374869903505666839095,60435-0688,5358164
9374869903505666848721,55318-1919,5358164
9374869903505666853237,45672-9631,5358164
011E778293D94CD6B66839A28,T4M0J5,5358164
8E913D6265624AF9B56D90377,l6v2c2,5358164
700BA0D78C33489AA5F65E56B,N6A0A1,5358164
13DB001BAF47480FBB7A7F178,M1V 1J7,5358164
4207EDC3C38C495AA510FDD61,N5R6J6,5358164
4280B0D3AD0449D5920A12103,L3K 5B4,5358164
0FAAB5B060C5410ABB88BCCA4,P0N 1C0,5358164
16881D7B29B040F48A32B6994,638316,5358164
7831FBE125424C86865EC8186,L1V 5V6,5358164
