Shipment - Tracking Number,Ship To - Postal Code,Account
9374869903505587872294,79924-2448,5357703
9374869903505587872379,46124-9405,5357703
9374869903505596220727,33715-2221,5357703
9374869903505596220734,93702-1241,5357703
9374869903505596220741,95326-9580,5357703
9374869903505596220710,75154-8261,5357703
9374869903505596220703,49412-7100,5357703
9374869903505596220765,80503-9213,5357703
9374869903505596220772,08618-1026,5357703
9374869903505596220796,77381-3208,5357703
9374869903505596220819,22801,5357703
9374869903505596220833,64804-5736,5357703
9374869903505596213033,42337-2101,5357703
9374869903505596220840,23840-2247,5357703
9374869903505596220307,92105-2439,5357703
9374869903505596220314,97502-3287,5357703
9374869903505596220864,70072-6572,5357703
9374869903505596213040,77026-4050,5357703
9374869903505596220895,37398-2752,5357703
9374869903505596220901,80111-2864,5357703
9374869903505596250403,90744-5845,5357703
9374869903505596247809,96817-2827,5357703
9374869903505596250731,33126-1303,5357703
9374869903505596250410,11553-1802,5357703
9374869903505596250724,91723-3026,5357703
9374869903505596250755,94606-3449,5357703
9374869903505596250441,33172-3517,5357703
9374869903505596250427,30044-6601,5357703
9374869903505596250779,61448-1145,5357703
9374869903505596250786,07852-2611,5357703
9374869903505596250434,44130-4206,5357703
9374869903505596250458,15206-4118,5357703
9374869903505596250793,46561-9385,5357703
9374869903505596250809,29203-3957,5357703
9374869903505596250465,91801-2647,5357703
9374869903505596250816,02908-1901,5357703
9374869903505596250472,10032-1911,5357703
9374869903505596250823,06614-3948,5357703
9374869903505596250489,30024-2843,5357703
9374869903505596250830,19115-3731,5357703
9374869903505596250496,33166-2687,5357703
9374869903505596250854,76549-2140,5357703
9374869903505596250861,26508-5828,5357703
9374869903505596250878,24531-3647,5357703
9374869903505596250885,11224-2268,5357703
9374869903505596250502,30605-6811,5357703
9300169903505596251512,96950-8903,5357703
9374869903505596250892,34654-1333,5357703
9374869903505596250922,08204-4309,5357703
9374869903505596250908,58540-9642,5357703
9374869903505596250915,78109-4435,5357703
9374869903505596247816,48047-4370,5357703
9374869903505596250946,88007-5256,5357703
9374869903505596251561,49801-4618,5357703
9374869903505596251578,33647-1309,5357703
9374869903505596250960,95341-5437,5357703
9374869903505596250977,77521-9490,5357703
9374869903505596247830,11550-6424,5357703
9374869903505596251547,15701-4024,5357703
9374869903505596247823,14626-4389,5357703
9374869903505596250953,15217-2726,5357703
9374869903505596247847,66441-5278,5357703
9374869903505596251004,28718-9063,5357703
9374869903505596250991,96744-4789,5357703
9374869903505596251608,33406-4448,5357703
9374869903505596251615,48157-0215,5357703
9374869903505596251622,06606-2321,5357703
9374869903505596251646,55376-3009,5357703
9374869903505596251011,02301-1644,5357703
9374869903505596251028,84606-1922,5357703
9374869903505596251042,46254-9570,5357703
9374869903505596251035,11101-6307,5357703
9374869903505596251684,84790-1570,5357703
9374869903505596251677,39206-5781,5357703
9374869903505596251707,11366-1907,5357703
9374869903505596251691,11363-1737,5357703
9374869903505596251066,62702-3977,5357703
9374869903505596251073,40218-2572,5357703
9374869903505596251721,60616-4108,5357703
9374869903505596251110,30349-1101,5357703
9374869903505596251103,25921,5357703
9374869903505596251127,95307-7258,5357703
9374869903505596247854,30120-2363,5357703
9374869903505596251738,30725-2498,5357703
9374869903505596251134,10989-2463,5357703
9374869903505596251752,07208-3115,5357703
9374869903505596251745,76112-5717,5357703
9374869903505596251769,92660-4218,5357703
9374869903505596251141,90019-4545,5357703
9374869903505596251776,18914-4002,5357703
9374869903505596251783,35643-3463,5357703
9374869903505596251158,94112-2951,5357703
9374869903505596251172,60645-2863,5357703
9374869903505596247861,50613-8016,5357703
9374869903505596251790,33179,5357703
9374869903505596251813,91915-2190,5357703
9374869903505596251196,85349-3139,5357703
9374869903505596247878,08005-1682,5357703
9374869903505596251202,19720-3400,5357703
9374869903505596251219,92336-4256,5357703
9374869903505596251240,81621-5001,5357703
9374869903505596251233,25801-9210,5357703
9374869903505596251820,92707-1126,5357703
9374869903505596251264,92064-1709,5357703
9374869903505596251257,34201-2087,5357703
9374869903505596251837,53226-2414,5357703
9374869903505596251271,48312-6908,5357703
9374869903505596251288,38002-4558,5357703
9374869903505596251851,73505-5618,5357703
9374869903505596251868,59634,5357703
9374869903505596251882,11230-6608,5357703
9374869903505596251875,92021-5815,5357703
9374869903505596251295,46312-2326,5357703
9374869903505596251905,54501-9629,5357703
9374869903505596251301,11235-3508,5357703
9374869903505596251318,38016-0147,5357703
9374869903505596251912,30474-5515,5357703
9374869903505596251325,54817-3085,5357703
9300169903505596251925,96950-8901,5357703
9374869903505596251332,33458-8029,5357703
9374869903505596251936,32401-4581,5357703
9374869903505596251356,30087-2937,5357703
9374869903505596251349,60302-5600,5357703
9374869903505596251370,37804-3951,5357703
9374869903505596247885,98042-4873,5357703
9374869903505596251943,36544-3434,5357703
9374869903505596251387,12010-2707,5357703
9374869903505596251394,80003-4362,5357703
9374869903505596251417,15456-1127,5357703
9374869903505596251950,33172-2779,5357703
9374869903505596251424,18701-1019,5357703
9374869903505596251967,06360-1460,5357703
9374869903505596251431,30506-1127,5357703
9374869903505596251448,31091-4641,5357703
9374869903505596251455,33172-2780,5357703
9374869903505596251974,01609-2053,5357703
9374869903505596251981,38756-2601,5357703
9374869903505596251998,60612-1316,5357703
9374869903505596251479,70056-4624,5357703
9374869903505596252001,11704-5511,5357703
9374869903505596251486,76522-1362,5357703
9374869903505596251493,33709-1406,5357703
9374869903505596251509,29585-6558,5357703
9374869903505596252018,98446-3243,5357703
9374869903505596252513,17603-5148,5357703
9374869903505596252025,19027-1812,5357703
9374869903505596252520,71373-5643,5357703
9374869903505596252049,23220-2433,5357703
9374869903505596247892,68776-1637,5357703
9374869903505596252056,98199-3522,5357703
9374869903505596252537,25275-6581,5357703
9374869903505596252094,24060-5349,5357703
9374869903505596252087,23838-5548,5357703
9374869903505596252544,02072-1081,5357703
9374869903505596252100,85021-7731,5357703
9374869903505596252551,19804-1112,5357703
9374869903505596252131,34741-7539,5357703
9374869903505596252568,70128-1413,5357703
9374869903505596252575,33463-7264,5357703
9374869903505596252148,00802-1960,5357703
9374869903505596252582,53913-2507,5357703
9374869903505596247908,91352-1118,5357703
9374869903505596252162,44680-9075,5357703
9374869903505596247915,93036-1585,5357703
9374869903505596252179,85336-0927,5357703
9374869903505596252605,32708-5167,5357703
9374869903505596252186,94596-5787,5357703
9374869903505596252193,30337-4523,5357703
9374869903505596252209,47042-9530,5357703
9374869903505596252612,55733-9545,5357703
9374869903505596247922,40444-7746,5357703
9374869903505596252223,33823-5410,5357703
9374869903505596252247,35950-8505,5357703
9374869903505596252230,22901-3931,5357703
9374869903505596252254,90745-4217,5357703
9374869903505596252278,31822-7855,5357703
9374869903505596252643,46407-2405,5357703
9374869903505596252261,98367-9559,5357703
9374869903505596252285,19726-2079,5357703
9374869903505596252667,00821-0302,5357703
9374869903505596252292,60613-6106,5357703
9374869903505596252674,45342-3618,5357703
9374869903505596252308,02744-1162,5357703
9374869903505596252315,10002-7705,5357703
9374869903505596252339,33132-2265,5357703
9374869903505596252681,83686-9013,5357703
9374869903505596252698,07018-1034,5357703
9374869903505596252346,14706,5357703
9374869903505596252704,46320-1244,5357703
9374869903505596252353,11901-1213,5357703
9374869903505596252377,46534-1841,5357703
9374869903505596252360,35226-3547,5357703
9374869903505596252728,11703-4728,5357703
9374869903505596252384,92173-3129,5357703
9374869903505596252735,33166-2625,5357703
9374869903505596252742,93955-4420,5357703
9374869903505596252391,12180-4211,5357703
9374869903505596252407,97838-6883,5357703
